full_name,team,until
Ke'Bryan Hayes,PIT,4
Cody Bellinger,LAD,8
Miguel Cabrera,DET,3
Christian Yelich,MIL,17
Luke Voit,NYY,17
Adalberto Mondesi,KC,18
Robinson Cano,NYM,21
Starling Marte,MIA,4
Juan Soto,WAS,5
Donovan Solano,SF,5
Didi Gregorious,PHI,5
Mike Yastrzemski,SF,5
Anthony Santander,BAL,7
Yadier Molina,STL,5
Byron Buxton,MIN,18
Ronald Acuna Jr.,ATL,21
Nick Castellanos,CIN,17
Mike Trout,CAL,18
Marcell Ozuna,ATL,21
Brandon Belt,SF,18
Luis Robert,CHW,16
Travis d'Arnaud,ATL,18
Eddie Rosario,ATL,19
Garrett Cooper,MIA,17
Jake Fraley,SEA,17
Kyle Schwarber,BOS,18
Max Muncy,LAD,15
Francisco Lindor,NYM,17
Alex Bregman,HOU,17
Trea Turner,LAD,18
Mookie Betts,LAD,16
Jared Walsh,CAL,17
Fernando Tatis,SD,19