position,week,prior,games,basal,opp_elo_weight,string_weight,time_scale
QB,1,50,55,1,0.442,0.0481,0
WR,1,50,55,1,0.442,0.0481,0
RB,1,50,55,1,0.442,0.0481,0
TE,1,50,55,1,0.442,0.0481,0
K,1,50,55,1,0.442,0.0481,0
DEF,1,50,55,1,0.442,0.0481,0
QB,2,38,47,1,0.553,0.0491,0.001
WR,2,38,47,1,0.553,0.0491,0.001
RB,2,38,47,1,0.553,0.0491,0.001
TE,2,38,47,1,0.553,0.0491,0.001
K,2,38,47,1,0.553,0.0491,0.001
DEF,2,38,47,1,0.553,0.0491,0.001
QB,3,39,49,1,0.595,0.049,0
WR,3,39,49,1,0.595,0.049,0
RB,3,39,49,1,0.595,0.049,0
TE,3,39,49,1,0.595,0.049,0
K,3,39,49,1,0.595,0.049,0
DEF,3,39,49,1,0.595,0.049,0
QB,4,40,49,1,0.618,0.047,0.0012
WR,4,40,49,1,0.618,0.047,0.0012
RB,4,40,49,1,0.618,0.047,0.0012
TE,4,40,49,1,0.618,0.047,0.0012
K,4,40,49,1,0.618,0.047,0.0012
DEF,4,40,49,1,0.618,0.047,0.0012
QB,5,41,49,1,0.618,0.036,0.0014
WR,5,41,49,1,0.618,0.036,0.0014
RB,5,41,49,1,0.618,0.036,0.0014
TE,5,41,49,1,0.618,0.036,0.0014
K,5,41,49,1,0.618,0.036,0.0014
DEF,5,41,49,1,0.618,0.036,0.0014
QB,6,42,54,1,0.754,0.044,0.001
WR,6,42,54,1,0.754,0.044,0.001
RB,6,42,54,1,0.754,0.044,0.001
TE,6,42,54,1,0.754,0.044,0.001
K,6,42,54,1,0.754,0.044,0.001
DEF,6,42,54,1,0.754,0.044,0.001
QB,7,39,53,1,0.803,0.028,0.003
WR,7,39,53,1,0.803,0.028,0.003
RB,7,39,53,1,0.803,0.028,0.003
TE,7,39,53,1,0.803,0.028,0.003
K,7,39,53,1,0.803,0.028,0.003
DEF,7,39,53,1,0.803,0.028,0.003
QB,8,40,52,1,0.772,0.035,0.0023
WR,8,40,52,1,0.772,0.035,0.0023
RB,8,40,52,1,0.772,0.035,0.0023
TE,8,40,52,1,0.772,0.035,0.0023
K,8,40,52,1,0.772,0.035,0.0023
DEF,8,40,52,1,0.772,0.035,0.0023
QB,9,34,46,1,0.778,0.019,0.0047
WR,9,34,46,1,0.778,0.019,0.0047
RB,9,34,46,1,0.778,0.019,0.0047
TE,9,34,46,1,0.778,0.019,0.0047
K,9,34,46,1,0.778,0.019,0.0047
DEF,9,34,46,1,0.778,0.019,0.0047
QB,10,31,41,1,0.814,0.023,0.006
WR,10,31,41,1,0.814,0.023,0.006
RB,10,31,41,1,0.814,0.023,0.006
TE,10,31,41,1,0.814,0.023,0.006
K,10,31,41,1,0.814,0.023,0.006
DEF,10,31,41,1,0.814,0.023,0.006
QB,11,8,12,1,0.778,0.471,0
WR,11,29,36,1,0.36,0,0
RB,11,36,55,1,1.431,0.17,0
TE,11,24,19,1,0.455,0.04,0.018
K,11,34,43,1,0.861,0.013,0.0024
DEF,11,34,43,1,0.861,0.013,0.0024
QB,12,8,12,1,0.778,0.471,0
WR,12,29,36,1,0.36,0,0
RB,12,36,55,1,1.431,0.17,0
TE,12,24,19,1,0.455,0.04,0.018
K,12,34,43,1,0.861,0.013,0.0024
DEF,12,34,43,1,0.861,0.013,0.0024
QB,13,8,12,1,0.778,0.471,0
WR,13,29,36,1,0.36,0,0
RB,13,36,55,1,1.431,0.17,0
TE,13,24,19,1,0.455,0.04,0.018
K,13,30,42,1,1.064,0,0.0034
DEF,13,30,42,1,1.064,0,0.0034
QB,14,8,12,1,0.778,0.471,0
WR,14,29,36,1,0.36,0,0
RB,14,36,55,1,1.431,0.17,0
TE,14,24,19,1,0.455,0.04,0.018
K,14,31,42,1,0.921,0.055,0.005
DEF,14,31,42,1,0.921,0.055,0.005
QB,15,8,12,1,0.778,0.471,0
WR,15,29,36,1,0.36,0,0
RB,15,36,55,1,1.431,0.17,0
TE,15,24,19,1,0.455,0.04,0.018
K,15,31,40,1,0.857,0.047,0.0048
DEF,15,31,40,1,0.857,0.047,0.0048
QB,16,13,21,1,1.151,0.065,0.0084
WR,16,13,21,1,1.151,0.065,0.0084
RB,16,13,21,1,1.151,0.065,0.0084
TE,16,13,21,1,1.151,0.065,0.0084
K,16,13,21,1,1.151,0.065,0.0084
DEF,16,13,21,1,1.151,0.065,0.0084
QB,17,13,21,1,1.151,0.065,0.0084
WR,17,13,21,1,1.151,0.065,0.0084
RB,17,13,21,1,1.151,0.065,0.0084
TE,17,13,21,1,1.151,0.065,0.0084
K,17,13,21,1,1.151,0.065,0.0084
DEF,17,13,21,1,1.151,0.065,0.0084